Sequence,ClassName,BinaryLabel,Split
adl-01,adl,0,train
adl-02,adl,0,train
adl-03,adl,0,train
adl-04,adl,0,train
adl-05,adl,0,train
adl-06,adl,0,train
adl-07,adl,0,train
adl-08,adl,0,train
adl-09,adl,0,train
adl-10,adl,0,train
adl-11,adl,0,train
adl-12,adl,0,train
adl-13,adl,0,train
adl-14,adl,0,train
adl-15,adl,0,train
adl-16,adl,0,train
adl-17,adl,0,train
adl-18,adl,0,train
adl-19,adl,0,train
adl-20,adl,0,train
adl-21,adl,0,train
adl-22,adl,0,train
adl-23,adl,0,train
adl-24,adl,0,train
adl-25,adl,0,train
adl-26,adl,0,train
adl-27,adl,0,train
adl-28,adl,0,train
adl-29,adl,0,val
adl-30,adl,0,val
adl-31,adl,0,val
adl-32,adl,0,val
adl-33,adl,0,val
adl-34,adl,0,val
adl-35,adl,0,test
adl-36,adl,0,test
adl-37,adl,0,test
adl-38,adl,0,test
adl-39,adl,0,test
adl-40,adl,0,test
fall-01,fall,1,train
fall-02,fall,1,train
fall-03,fall,1,train
fall-04,fall,1,train
fall-05,fall,1,train
fall-06,fall,1,train
fall-07,fall,1,train
fall-08,fall,1,train
fall-09,fall,1,train
fall-10,fall,1,train
fall-11,fall,1,train
fall-12,fall,1,train
fall-13,fall,1,train
fall-14,fall,1,train
fall-15,fall,1,train
fall-16,fall,1,train
fall-17,fall,1,train
fall-18,fall,1,train
fall-19,fall,1,train
fall-20,fall,1,train
fall-21,fall,1,val
fall-22,fall,1,val
fall-23,fall,1,val
fall-24,fall,1,val
fall-25,fall,1,val
fall-26,fall,1,test
fall-27,fall,1,test
fall-28,fall,1,test
fall-29,fall,1,test
fall-30,fall,1,test
