Epoch 001 | train -0.744443 | noise 0.145143 | val-init 0.001970
Epoch 002 | train -1.109764 | noise 0.073718 | val-init 0.001941
Epoch 003 | train -1.141166 | noise 0.063172 | val-init 0.001973
Epoch 004 | train -1.192820 | noise 0.057585 | val-init 0.001932
Epoch 005 | train -1.209606 | noise 0.052655 | val-init 0.001909
Epoch 006 | train -1.219907 | noise 0.050208 | val-init 0.001886
Epoch 007 | train -1.228452 | noise 0.046975 | val-init 0.001857
Epoch 008 | train -1.232950 | noise 0.045750 | val-init 0.001857
Epoch 009 | train -1.242457 | noise 0.042984 | val-init 0.001823
Epoch 010 | train -1.248118 | noise 0.040687 | val-init 0.001807
Epoch 011 | train -1.256738 | noise 0.038367 | val-init 0.001804
Epoch 012 | train -1.260524 | noise 0.037169 | val-init 0.001776
Epoch 013 | train -1.263497 | noise 0.036300 | val-init 0.001746
Epoch 014 | train -1.265448 | noise 0.035240 | val-init 0.001727
Epoch 015 | train -1.267528 | noise 0.035022 | val-init 0.001713
Epoch 016 | train -1.268666 | noise 0.034197 | val-init 0.001715
Epoch 017 | train -1.272947 | noise 0.033477 | val-init 0.001694
Epoch 018 | train -1.272920 | noise 0.033307 | val-init 0.001693
Epoch 019 | train -1.275246 | noise 0.032501 | val-init 0.001679
Epoch 020 | train -1.276761 | noise 0.032204 | val-init 0.001676
