dataset_source,sequence_id,person_id,frame_index,source_fps,label_name,pose_center_weight,human_center_x,human_center_y,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,source_file
URFall,URFall_adl-01-cam0,person_1,7,30.0,Normal,1.0,560.795,112.5395,542.85,73.295,607.665,162.0,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,8,30.0,Normal,1.0,559.355,113.04001,542.85,73.295,601.49,162.0,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,9,30.0,Normal,1.0,557.11053,112.994995,542.85,73.295,588.79,162.0,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,10,30.0,Normal,1.0,554.521,112.5485,542.85,73.295,574.295,162.0,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,11,30.0,Normal,1.0,553.1545,111.5845,538.595,73.295,563.745,162.0,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,12,30.0,Normal,1.0,552.53204,111.093,533.325,73.295,562.86,162.93,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,13,30.0,Normal,1.0,551.622,110.8805,529.84,73.295,562.89,163.97,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,14,30.0,Normal,1.0,550.48804,110.82,527.315,73.195,563.075,164.01,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,15,30.0,Normal,1.0,548.80853,110.8385,526.59,73.155,563.29,163.615,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,16,30.0,Normal,1.0,547.618,110.8865,526.77,73.165,562.13,163.12,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,17,30.0,Normal,1.0,546.7355,111.339,528.63,73.2,560.15,162.68,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,18,30.0,Normal,1.0,545.75104,112.109505,529.96,73.23,557.75,162.355,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,19,30.0,Normal,1.0,544.558,112.636505,530.79,72.29,556.785,163.15,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,20,30.0,Normal,1.0,543.23004,112.3825,529.35,70.715,556.79,163.605,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,21,30.0,Normal,1.0,542.104,111.676,528.305,68.865,556.785,163.825,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,22,30.0,Normal,1.0,541.238,111.145004,526.655,67.92,556.78,162.895,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,23,30.0,Normal,1.0,540.518,110.560005,524.61,67.56,556.775,162.32,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,24,30.0,Normal,1.0,540.1325,109.968,522.34,67.515,556.775,163.015,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,25,30.0,Normal,1.0,539.2465,109.383995,521.31,67.515,556.77,163.455,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,26,30.0,Normal,1.0,537.91754,109.12051,521.015,67.615,556.77,163.7,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,27,30.0,Normal,1.0,536.604,109.046,521.09,67.56,556.77,162.805,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,28,30.0,Normal,1.0,536.004,109.066,521.305,67.515,556.77,162.265,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,29,30.0,Normal,1.0,535.8245,109.12201,521.235,67.515,555.43,162.0,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,30,30.0,Normal,1.0,535.72705,109.182,521.22,67.615,553.325,162.0,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,31,30.0,Normal,1.0,535.7685,109.43,520.52,67.755,550.855,163.005,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,32,30.0,Normal,1.0,535.7285,109.681,518.5,67.88,549.605,164.58,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,33,30.0,Normal,1.0,535.61304,110.018,516.075,67.975,549.555,166.435,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,34,30.0,Normal,1.0,535.309,110.19,514.835,67.09,549.68,167.375,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,35,30.0,Normal,1.0,535.294,110.559,514.36,65.5,549.76,168.74,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,36,30.0,Normal,1.0,535.317,110.539,514.295,63.64,549.81,170.36,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,37,30.0,Normal,1.0,535.355,110.29,515.76,62.69,549.835,172.115,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,38,30.0,Normal,1.0,535.2525,109.72001,516.705,62.325,549.84,172.915,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,39,30.0,Normal,1.0,535.3345,109.38901,517.24,62.28,549.84,173.15,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,40,30.0,Normal,1.0,535.52454,109.33201,516.15,62.33,549.835,173.1,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,41,30.0,Normal,1.0,535.771,109.235504,515.46,62.285,549.835,172.94,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,42,30.0,Normal,1.0,535.3655,109.30551,515.085,61.645,549.84,172.76,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,43,30.0,Normal,1.0,534.44354,109.369,514.915,60.165,549.84,172.85,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,44,30.0,Normal,1.0,533.2595,109.61551,514.87,58.375,549.835,172.9,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,45,30.0,Normal,1.0,532.502,109.761505,514.885,57.47,549.835,173.46,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,46,30.0,Normal,1.0,532.167,109.934,514.595,57.125,549.83,175.01,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,47,30.0,Normal,1.0,532.08,110.017,514.155,57.09,549.825,176.855,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,48,30.0,Normal,1.0,532.116,110.247505,514.275,57.185,549.825,177.8,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,49,30.0,Normal,1.0,531.52454,110.4625,514.41,57.325,549.825,178.165,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,50,30.0,Normal,1.0,530.1505,110.763504,514.595,57.445,549.825,178.215,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,51,30.0,Normal,1.0,528.35,110.607,514.765,57.54,549.825,178.22,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,52,30.0,Normal,1.0,527.159,110.1845,513.7,57.49,549.825,178.225,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,53,30.0,Normal,1.0,526.91,109.7295,511.585,57.125,549.825,178.975,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,54,30.0,Normal,1.0,527.208,109.58501,509.105,57.08,549.825,180.43,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,55,30.0,Normal,1.0,527.63654,109.636,507.845,56.65,550.53,182.185,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,56,30.0,Normal,1.0,527.543,109.694496,507.36,55.065,553.845,183.065,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,57,30.0,Normal,1.0,527.105,109.7445,507.295,53.205,556.71,183.395,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
