source_id,dataset_source,label_name,label_id,frame_index,video_person_id,global_person_id,nosex,nosey,midhipx,midhipy,ranklex,rankley,lanklex,lankley,human_center_x,human_center_y,human_bbox_xmin,human_bbox_ymin,human_bbox_xmax,human_bbox_ymax,timestamp_sec,env_objects
URFall_adl-01-cam0_frame000007_person1,URFall,Normal,0,7,1,0,557,73,564,120,556,152,563,152,561,112,548,65,572,160,0.23333333333333334,[]
URFall_adl-01-cam0_frame000008_person1,URFall,Normal,0,8,1,0,555,74,562,120,555,153,562,153,559,113,547,66,570,161,0.26666666666666666,[]
URFall_adl-01-cam0_frame000009_person1,URFall,Normal,0,9,1,0,553,75,560,119,553,155,560,155,557,113,545,67,568,163,0.3,[]
URFall_adl-01-cam0_frame000010_person1,URFall,Normal,0,10,1,0,550,75,557,118,549,156,558,156,554,113,541,67,566,164,0.3333333333333333,[]
URFall_adl-01-cam0_frame000011_person1,URFall,Normal,0,11,1,0,549,74,556,116,546,157,557,158,553,112,538,66,565,166,0.36666666666666664,[]
URFall_adl-01-cam0_frame000012_person1,URFall,Normal,0,12,1,0,549,74,556,115,543,157,556,159,553,111,535,66,564,167,0.4,[]
URFall_adl-01-cam0_frame000013_person1,URFall,Normal,0,13,1,0,549,73,555,114,540,157,556,159,552,111,532,65,564,167,0.43333333333333335,[]
URFall_adl-01-cam0_frame000014_person1,URFall,Normal,0,14,1,0,549,73,553,114,538,158,556,158,551,110,530,65,564,166,0.4666666666666667,[]
URFall_adl-01-cam0_frame000015_person1,URFall,Normal,0,15,1,0,548,73,550,115,536,159,556,157,549,111,528,65,564,167,0.5,[]
URFall_adl-01-cam0_frame000016_person1,URFall,Normal,0,16,1,0,546,73,549,115,535,159,556,157,547,111,527,65,564,167,0.5333333333333333,[]
URFall_adl-01-cam0_frame000017_person1,URFall,Normal,0,17,1,0,544,73,549,116,535,158,557,157,547,111,527,65,565,166,0.5666666666666667,[]
URFall_adl-01-cam0_frame000018_person1,URFall,Normal,0,18,1,0,543,73,548,118,535,157,557,157,546,112,527,65,565,165,0.6,[]
URFall_adl-01-cam0_frame000019_person1,URFall,Normal,0,19,1,0,542,73,546,118,535,158,555,157,545,112,527,65,563,166,0.6333333333333333,[]
URFall_adl-01-cam0_frame000020_person1,URFall,Normal,0,20,1,0,542,73,543,118,535,158,553,157,543,112,527,65,561,166,0.6666666666666666,[]
URFall_adl-01-cam0_frame000021_person1,URFall,Normal,0,21,1,0,541,73,542,116,536,158,551,157,542,111,528,65,559,166,0.7,[]
URFall_adl-01-cam0_frame000022_person1,URFall,Normal,0,22,1,0,539,73,542,115,536,158,550,157,541,111,528,65,558,166,0.7333333333333333,[]
URFall_adl-01-cam0_frame000023_person1,URFall,Normal,0,23,1,0,537,72,542,115,536,157,549,157,541,110,528,64,557,165,0.7666666666666667,[]
URFall_adl-01-cam0_frame000024_person1,URFall,Normal,0,24,1,0,536,71,542,115,536,157,548,157,540,110,528,63,556,165,0.8,[]
URFall_adl-01-cam0_frame000025_person1,URFall,Normal,0,25,1,0,535,69,541,115,536,157,546,157,539,110,527,61,554,165,0.8333333333333334,[]
URFall_adl-01-cam0_frame000026_person1,URFall,Normal,0,26,1,0,535,68,539,115,535,157,543,157,538,109,527,60,551,165,0.8666666666666667,[]
URFall_adl-01-cam0_frame000027_person1,URFall,Normal,0,27,1,0,535,68,537,115,534,157,542,157,537,109,526,60,550,165,0.9,[]
URFall_adl-01-cam0_frame000028_person1,URFall,Normal,0,28,1,0,535,68,536,115,533,157,542,157,536,109,525,60,550,165,0.9333333333333333,[]
URFall_adl-01-cam0_frame000029_person1,URFall,Normal,0,29,1,0,536,68,535,115,533,157,542,157,536,109,525,60,550,165,0.9666666666666667,[]
URFall_adl-01-cam0_frame000030_person1,URFall,Normal,0,30,1,0,536,68,535,115,532,157,542,157,536,109,524,60,550,165,1.0,[]
URFall_adl-01-cam0_frame000031_person1,URFall,Normal,0,31,1,0,536,68,535,115,531,158,542,158,536,110,523,60,550,166,1.0333333333333334,[]
URFall_adl-01-cam0_frame000032_person1,URFall,Normal,0,32,1,0,536,68,535,115,531,158,541,159,536,110,523,60,549,167,1.0666666666666667,[]
URFall_adl-01-cam0_frame000033_person1,URFall,Normal,0,33,1,0,536,68,536,115,531,160,539,161,536,110,523,60,547,169,1.1,[]
URFall_adl-01-cam0_frame000034_person1,URFall,Normal,0,34,1,0,536,68,536,115,530,160,537,162,536,110,522,60,545,170,1.1333333333333333,[]
URFall_adl-01-cam0_frame000035_person1,URFall,Normal,0,35,1,0,536,68,536,115,530,163,536,164,535,111,522,60,544,172,1.1666666666666667,[]
URFall_adl-01-cam0_frame000036_person1,URFall,Normal,0,36,1,0,536,67,536,115,531,164,535,165,535,110,523,59,544,173,1.2,[]
URFall_adl-01-cam0_frame000037_person1,URFall,Normal,0,37,1,0,536,66,536,115,531,164,535,167,535,110,523,58,544,175,1.2333333333333334,[]
URFall_adl-01-cam0_frame000038_person1,URFall,Normal,0,38,1,0,536,64,536,115,530,163,535,168,535,110,522,56,544,176,1.2666666666666666,[]
URFall_adl-01-cam0_frame000039_person1,URFall,Normal,0,39,1,0,536,63,536,115,529,163,537,168,535,110,521,55,545,176,1.3,[]
URFall_adl-01-cam0_frame000040_person1,URFall,Normal,0,40,1,0,536,62,536,115,529,163,539,168,536,109,521,54,547,176,1.3333333333333333,[]
URFall_adl-01-cam0_frame000041_person1,URFall,Normal,0,41,1,0,536,62,536,115,529,164,542,167,536,109,521,54,550,175,1.3666666666666667,[]
URFall_adl-01-cam0_frame000042_person1,URFall,Normal,0,42,1,0,535,62,536,115,529,165,542,166,536,109,521,54,550,174,1.4,[]
URFall_adl-01-cam0_frame000043_person1,URFall,Normal,0,43,1,0,532,63,536,115,527,165,540,166,534,110,519,55,548,174,1.4333333333333333,[]
URFall_adl-01-cam0_frame000044_person1,URFall,Normal,0,44,1,0,530,63,536,115,525,167,538,166,533,110,517,55,546,175,1.4666666666666666,[]
URFall_adl-01-cam0_frame000045_person1,URFall,Normal,0,45,1,0,529,63,536,115,523,167,536,167,533,110,515,55,544,175,1.5,[]
URFall_adl-01-cam0_frame000046_person1,URFall,Normal,0,46,1,0,528,63,536,115,522,169,536,167,532,110,514,55,544,177,1.5333333333333334,[]
URFall_adl-01-cam0_frame000047_person1,URFall,Normal,0,47,1,0,528,63,536,115,521,169,535,167,532,110,513,55,544,177,1.5666666666666667,[]
URFall_adl-01-cam0_frame000048_person1,URFall,Normal,0,48,1,0,528,63,536,115,521,170,535,168,532,110,513,55,544,178,1.6,[]
URFall_adl-01-cam0_frame000049_person1,URFall,Normal,0,49,1,0,529,63,535,115,521,171,536,170,532,110,513,55,544,179,1.6333333333333333,[]
URFall_adl-01-cam0_frame000050_person1,URFall,Normal,0,50,1,0,527,63,532,115,522,172,536,172,530,111,514,55,544,180,1.6666666666666667,[]
URFall_adl-01-cam0_frame000051_person1,URFall,Normal,0,51,1,0,525,62,530,115,522,173,536,173,528,111,514,54,544,181,1.7,[]
URFall_adl-01-cam0_frame000052_person1,URFall,Normal,0,52,1,0,523,60,529,115,523,173,536,173,527,110,515,52,544,181,1.7333333333333334,[]
URFall_adl-01-cam0_frame000053_person1,URFall,Normal,0,53,1,0,522,58,528,115,525,174,537,173,527,110,514,50,545,182,1.7666666666666666,[]
URFall_adl-01-cam0_frame000054_person1,URFall,Normal,0,54,1,0,521,57,528,115,528,175,539,173,527,109,513,49,547,183,1.8,[]
URFall_adl-01-cam0_frame000055_person1,URFall,Normal,0,55,1,0,521,57,528,115,529,177,542,173,527,110,513,49,550,185,1.8333333333333333,[]
URFall_adl-01-cam0_frame000056_person1,URFall,Normal,0,56,1,0,520,57,529,115,530,178,543,173,528,110,512,49,551,186,1.8666666666666667,[]
URFall_adl-01-cam0_frame000057_person1,URFall,Normal,0,57,1,0,518,57,529,115,530,178,544,173,527,110,510,49,552,186,1.9,[]
URFall_adl-01-cam0_frame000058_person1,URFall,Normal,0,58,1,0,516,57,529,115,530,178,544,172,527,110,508,49,552,186,1.9333333333333333,[]
URFall_adl-01-cam0_frame000059_person1,URFall,Normal,0,59,1,0,515,56,529,114,529,178,543,172,526,109,507,48,551,186,1.9666666666666666,[]
URFall_adl-01-cam0_frame000060_person1,URFall,Normal,0,60,1,0,514,55,528,112,529,178,543,172,525,108,506,47,551,186,2.0,[]
